,label,text
6002,fact,Toyota registra sus primeras pérdidas de la historia: El fabricante japonés de vehículos Toyota Motor ha anuncia.. <link>
14150,fact,"US Open, asignatura pendiente de Nadal: El tenista español Rafael Nadal afronta el último Grand Slam del .. <link>"
1677,fact," ÚLTIMAHORA Nicolás Maduro descarta un referendo revocatorio en 2016: ""Será el próximo año y punto"", advirtió. <hashtags> <pic>"
21308,sarcasm,"Un saludito especial, para todos aquellos que si me han visto no se acuerdan. <hashtags>"
26000,sarcasm,El desgraciado de el chamuko resiente a Seagal & ya no invertirá en el país <link> (que malos somos!!!!!)  sarcasmo plis RT
21267,sarcasm,Si quieres un maestro de español Logan es tu chico <hashtags>
19821,sarcasm,"Todos amamos los ""OK"" <hashtags>"
1459,fact,<mention> Los victimarios son el régimen y las víctimas son los venezolanos incluyendo los chavistas de a pie| <mention> <hashtags>
6888,fact,Un informe exonera a Obama de cualquier responsabilidad en el 'caso Blagojevich': Un informe interno divulgado e.. <link>
5425,fact,La Bolsa continúa el rebote: La Bolsa española ha dado hoy por concluido la euforia que le llevó ayer a registra.. <link>
9307,fact,"EP Las autoridades cubanas detienen al líder de una banda de punk: ""La creación artística independiente.. <link>"
20468,sarcasm,"Otra vez en la ciudad, que lindo el calorcitooooo <hashtags>"
4181,fact,Uno de cada cinco casos de sida en África se debe al uso de agujas sucias: Aproximadamente cinco millones de nuevo... <link>
15205,sarcasm,Pero porque??? <hashtags> <pic>
15316,sarcasm,Que buen apoyo! <hashtags>
22514,sarcasm,No mames no mames no mames!!!!!!! La banda sorpresa en la  fenahuap de  Cdvalles es el Recodo!!!! Wiiii que feliz estoy!!!! <hashtags>
6607,fact,Sonsoles Espinosa declina acudir a una cumbre de primeras damas sobre Gaza: El presidente José Luís Rodríguez Za.. <link>
13032,fact,EP Restablecido el servicio en las cinco líneas de Cercanías de Barcelona afectadas por nuevas incidenc.. <link>
9262,fact,EP España se consolida como el país de la eurozona con más paro: El rosario de malas noticias sobre la .. <link>
23887,sarcasm,<mention> <mention> nah! Que va! Son los Red Sox y solo quieren hacer esto interesante. <hashtags>
24219,sarcasm,Me copé escuchando unos pibitos llamados  TheClash. Me parece que son conocidos. Esta bueno lo que hacen. <hashtags>
15415,sarcasm,La combinacion Barea-Arroyo iniciando y rindiendo frutos frente a Panama. Les estamos sacando la cancha en rapidez..... <hashtags>
11396,fact,EP Apple mira al sol para recargar su iPhone: Su iPod o iPhone podrían funcionar en el futuro con energ.. <link>
21936,sarcasm,“Una mujer sufre por dos cosas: Por tupida y por gusto.” <hashtags>
2710,fact,URGENTE: la cuenta <mention> está pirateada. La información de que Florentino Pérez destituirá a Mourinho es completamente falsa
18777,sarcasm,Me encanta tener qe levantarme a estas oras un viernes para ir a la uni a acer un exámen de mate.. GENIAL..  sarcasmo  Asco --..
24497,sarcasm,Tirada en mi cama mientras alimento a los bellos zancudos son un amor :$ <hashtags>
8678,fact,La bajada de tipos global no logra frenar las caídas en la bolsas: La decisión de bajar los tipos de inte.. <link>
2576,fact,No te pierdas esta noche en  CalaEnUruguay la entrevista con el presidente José Pepe  Mujica a las 9pm ET por <mention> <pic>
19857,sarcasm,Tan ricoooo que es cuando se te tapan los oidos ! <hashtags>
1140,fact,Múnich es una de las ciudades más conocidas de Alemania. Pero pocos la han visto desde este ángulo. [el] <hashtags> <pic>
22122,sarcasm,Bien contento con Estas practicas a las 5 de la mañana...  sarcasmo Japon como que no esta en mi agenda... Jaja
22144,sarcasm,"Los maracuchos somos muy exagerados  Sarcasmo RT “ <mention> ""En el Zulia no hay un programa de racionamiento"": Min-Energía Eléctrica."
14031,fact,Fuga de cerebros forzosa: Las fuerzas de élite británicas secuestraron a cientos de científicos y técnico.. <link>
3473,fact,El Vaticano critica la concesión del Nobel al padre de la fecundación invitro: El presidente de la Pontificia Acad... <link>
5815,fact,Comienza la jornada electoral en Venezuela: La mayoría de los centros electorales de Venezuela han abierto hoy s.. <link>
4087,fact,"Los Estudios Abbey Road ""no están en venta"": La compañía discográfica EMI negó que tenga intenciones de vender el ... <link>"
10104,fact,EP Nuevo ataque con excavadora en Jerusalén: El incidente ha tenido lugar en la confluencia de las call.. <link>
4989,fact,El Ciudad Real alcanza las semifinales de la Copa de Europa: El Balonmano Ciudad Real ha certificado su pase a l.. <link>
8618,fact,EEUU retirará hoy a Corea del Norte de la lista de países que apoyan el terrorismo: El Gobierno de Estado.. <link>
25008,sarcasm,“No sé qué decir porque para mí esto es importante” - Enrique Iglesias. Muy astuta tu respuesta Iglesias <hashtags>
12788,fact,Crimen de enmaletado hallado en Bogotá apuntaría a banda de los 'Rastrojos': Las primeras pistas seña.. <link>
20783,sarcasm,Si hay 15 gatos es mucho. RT <mention> Impresionante el  TsunamiAzul en Comerío..... <hashtags> <pic>
13471,fact,EP Un error de CiU en la votación suaviza la proposición de ley para sancionar con prisión el exceso de.. <link>
22091,sarcasm,fea noche se viene <hashtags>
3188,fact,"VIDEO: Hosni  Mubarak podría ser el más rico del mundo, superando a Carlos Slim y Bill Gates <link>"
9640,fact,EP Kindle rompe con la maldición del libro electrónico: Un dato financiero ha devuelto la confianza en .. <link>
11454,fact,EP Detenidos 20 seguidores de la opositora birmana Aung San Suu Kyi: Las autoridades birmanas han deten.. <link>
12421,fact,"EP Los chinos desatan su ira contra Carrefour: La llama olímpica se pasea, de nuevo fuertemente protegi.. <link>"
4290,fact,Papás de baja por paternidad <link>
11529,fact,EP El peor de los comienzos: La selección española de voleibol arrancó del peor modo posible su partici.. <link>
9253,fact,"EP Stoner, Simoncelli y Talmacsi gobiernan entre el letargo español: La primera jornada de entrenamient.. <link>"
6687,fact,Zigic vuelve a marcar la diferencia: El Racing de Santander aprovechó su aplicación defensiva para ganar en Zorr.. <link>
19723,sarcasm,"""Esecciones"", ""haiga"", ""espresa"" e ""intertestos"". Creo que es la mejor profe de español que he tenido <hashtags>"
6940,fact,El Gobierno apura el límite para llegar a un acuerdo sobre la financiación autonómica: El tiempo de la negociaci.. <link>
15125,sarcasm,Aquí valiendo verga y pasándola bien mal... <hashtags> <pic>
10175,fact,EP Las 'vacaciones' cubanas de Gabo: Cada vez que Gabriel García Márquez visita Cuba fuera de temporada.. <link>
18050,sarcasm, pusbueno me hice una hora en el metro! Gran servicio el q brinda la línea A del metro. <hashtags>
18138,sarcasm,"No es lo mismo Me amo y lo entrego todo por mi, que Me amó y lo entregó todo por mi, <mention> <mention> <hashtags>"
4428,fact,Descubren 32 nuevos planetas fuera del Sistema Solar <link>
25233,sarcasm,"Dicen q hoy SI sale la encuesta en la q PPK tiene 300%, Toledo -3750% y Castañeda les gana a los dos en tercera vuelta <hashtags>"
20620,sarcasm,Vamos a un corte comercial. Fijo eso de corte era  sarcasmo.
11232,fact,EP El Poder Judicial archiva la investigación a la juez del 'caso Alovera' y pide actuar contra una fun.. <link>
12112,fact,"EP Beguiristáin anuncia decisiones en busca de un ""rendimiento inmediato"": El director deportivo del Ba.. <link>"
6401,fact,La Juve desaprovecha el tropiezo del Inter: La Juventus de Turín dejó escapar la oportunidad de recortar tres pu.. <link>
16224,sarcasm,Hace frío... <hashtags>
8356,fact,"McCain lucha por su supervivencia en Ohio: Con las encuestas en contra, el candidato republicano a la pre.. <link>"
260,fact,Primeras imágenes video después del accidente de avión con 104 pasajeros a bordo en Cuba <hashtags> <pic>
8030,fact,El Parlamento iraní destituye a un ministro por falsificar un título de Oxford: El Parlamento iraní desti.. <link>
1727,fact,Así han manteado los jugadores del Real Madrid a su entrenador Zinedine Zidane tras lograr la 'Undezidane' <hashtags> <pic>
24744,sarcasm,"La imagen futbolera de la  copaoro en televisa es Ricky Martin, que baronil jeje <hashtags>"
15124,sarcasm,"Ahora resulta que por no poner ""en mi opinión"" antes de cada tweet, puedes ser culpable de denigrar cualquier verdad absoluta (a sabiendas de que tal cosa no existe)... Chido sociedad, cada vez vas mejor <hashtags>"
21019,sarcasm,"hoy paso por al lado mio, me ama tantoooo <hashtags>"
18065,sarcasm,"Un  sarcasmo es una agresión poco útil. No despierta la  reflexión / correción en el otro, ni tampoco dialogas de frente lo q te molesta."
18431,sarcasm,El SERVEF ya está en las redes sociales. Era justo lo que quería. <hashtags>
20133,sarcasm,"Llegueee a PR, que emociooon <hashtags>"
338,fact, Urgente - Agencias afirman que Donald Trump asistirá a la Cumbre de las Américas en Lima y luego irá a  Colombia en visita oficial. [el] <pic>
16433,sarcasm,Que hermosa pauscua que estoy pasando <hashtags>
1638,fact, ATENCIÓN Consejo de Estado pide investigar al Procurador General por dilatar proceso en su contra <pic>
21066,sarcasm,RT <mention> En La Florida gano Rodolfo Carter (UDI)  PDV  woooooo! …  sarcasmo haber si se sigue robando plata del municipi
6487,fact,Olmert se niega a parar una guerra que ya deja más de 1.000 muertos: El único primer ministro que ha desatado do.. <link>
10944,fact,"EP Rice recuerda a Olmert que los asentamientos ""desalientan la confianza"" para la paz: Estados Unidos .. <link>"
8728,fact,"Dos japoneses y un estadounidense, Nobel de Física por sus descubrimientos en la física subatómica: Yoich.. <link>"
20398,sarcasm,"Verdad q hay personas q creen q uno es Google, solo lo buscan a uno cuando nos necesitan <hashtags>"
2765,fact,"El  iPhone 4S tiene una batería más duradera, de hasta 8 horas de llamada continua, dice Phil Schiller <hashtags>"
18020,sarcasm,"José David Cabello ahora Ministro de Industrias hermano de Diosdi ""Paz"" Cabello ¿Nepotismo? ¿Donde? Eso no existe aqui... <hashtags>"
24558,sarcasm,"que malvados los de la oposición, mira que meter todo ese armamento pa El Rodeo <hashtags>"
25129,sarcasm,Normaal.. Qe diversion estar en casa de mi abuela viendo sabado sensacional en venevision plus <hashtags>
24328,sarcasm,"por una sociedad igualitaria que trate con fascismo a quienes dicen que ""con Franco se vivía mejor"" <hashtags>"
13754,fact,"EP Lula llega a España para buscar una segunda oleada de inversiones: El presidente de Brasil, Luiz Ina.. <link>"
13999,fact,Localizados los soldados paquistaníes que estaban desaparecidos: El centenar de soldados paquistaníes que.. <link>
23082,sarcasm,Me encanta (  sarcasmo) la manera en que puedes bajarme la luna y las estrellas y al siguiente segundo valerte madres
15974,sarcasm," Sarcástico: -Papá que hacemos si ganamos el KINO —Hijo. Aruba, Langosta, Whisky, Y Mujeres - Y si no ganamos? Río, Sardina, Ron, y Tu Mamá."
6583,fact,Las víctimas extranjeras de violencia machista podrán optar a un permiso de residencia: El Consejo de Ministros .. <link>
18373,sarcasm,"El San Antonio tendrá pantallas táctiles,pero el Sarmiento tiene chicas que se colan los dedos y difunden el video <hashtags>"
22648,sarcasm,Primera boleta bieeeennnnn  sarcasmo -.-
15201,sarcasm,"Eso es imposible Sol, ya que el garante de la legalidad y el Estado de Derecho en Venezuela, como lo es el Fiscal General de la República, Tarek William Saab, ha señalado categóricamente que en El Helicoide no hay adolescentes detenidos. <hashtags>"
15092,sarcasm,Me encanta cómo los hombres heterosexuales creen que ir arreglado a una actividad es ponerse una camiseta del equipo de fútbol. <hashtags>
3671,fact,"Ingrid Betancourt demanda 6,5 millones de dólares al gobierno de Colombia <link>"
5652,fact,"Ryanair baraja cobrar a sus pasajeros por ir al baño: La aerolínea de bajo coste Ryanair, que ya cobra por equip.. <link>"
4764,fact,Empresas colombianas no tienen visión global: Martin Lindstrom y Philip Kotler coincidieron en que la empresa co.. <link>
23399,sarcasm,La cancion de Paulina nueva es igual de buena que La Perrera sin Ali <hashtags>
4834,fact,La crisis pasa inadvertida en Apple <link>
15751,sarcasm,"la sonrisa  Irónica y  Sarcástica, después de ATACAR a Baradel.  ElVerdaderoMacri...!"
21299,sarcasm,Ganó México? jugó la selección??? <hashtags>
5457,fact,Asesinado a tiros un agente de policía en Irlanda del Norte: Un agente de policía ha muerto asesinado este lunes.. <link>
17203,sarcasm,Que guay es trabajar en sábado..e ir en metro con gente guay.. <hashtags>
7752,fact,"El JEMAD deja para ""más adelante"" la ampliación del tiempo de rotación de los soldados en el exterior: El.. <link>"
24372,sarcasm,Tal parece que vamos a tener el placer de agradecer personalmente a Colombia por clasificarnos. <hashtags>
3145,fact,"'Los hombres dicen más mentiras, pero las mujeres las detectan mejor <link>"
22658,sarcasm,"Si tienes que poner--->  Sarcasmo en tus twits, no son sarcasticos. ¡NO LO SON!"
14463,fact,"El dopaje también castiga a la Universiada: Los Juegos Mundiales Universitarios, que se están celebrando .. <link>"
5223,fact,Las bonificaciones de AIG son mayores de lo estimado: Las polémicas bonificaciones que la aseguradora AIG ha oto.. <link>
13329,fact,EP El regulador francés señala que toda la cúpula de EADS abusó de información privilegiada: La Autorid.. <link>
24014,sarcasm,Pues se ve buenísima la segunda parte de Ghost Rider.. (  sarcasmo)
7638,fact,Los funcionarios concluyen la huelga en Chile tras lograr un aumento salarial: Unos 400.000 funcionarios .. <link>
14921,sarcasm,RT <mention> Si <mention> nos bloquea <mention> es porq nos ama......jajajaja  SarcasmoPuro / Tiene mas bloqueados q seguidores
21681,sarcasm,"Se ha ganado un  FF por cocinar bueno <mention> , XDD  sarcasmo lo de cocinar, pero el  FF es de verdad."
9252,fact,EP Calderón y Schuster apuestan por la continuidad de Robinho: Robinho está cada día que pasa más cerca.. <link>
5588,fact,"Pau Gasol, elegido jugador del mes en la NBA por primera vez en su carrera: El ala-pívot español de Los Angeles .. <link>"
6030,fact,"Un testigo del caso Madoff denuncia la ""falta de pericia financiera"" de los reguladores: El administrador legal .. <link>"
25570,sarcasm,dale que vamos bien <hashtags>
16834,sarcasm,"<mention> ¿Porque andar en transporte público o a pie, si se puede uno robar un bmw, mercedes benz, audi, o de perdido volswagen? <hashtags>"
7114,fact,Silva reactiva al Valencia: Unai Emery se había pasado el verano repasando los vídeos de la pasada campaña de su.. <link>
5549,fact,El mercado tardará tres años en absorver el millón de viviendas sin vender: La situación del mercado inmobiliari.. <link>
4619,fact,Una explicación de Google News para lavarse la cara: Para informarse en Internet uno puede visitar ediciones dig.. <link>
22275,sarcasm,"""<mention> “ <mention> <mention> pinches ardidos y tu pinch pelon hijo d puta sigue soñando// q educada! Q clase <hashtags>"
16206,sarcasm,Wujuu que emoción hoy hay tope <hashtags>
9467,fact,EP Decenas de muertos tras estrellarse en el despegue un avión que salía de Barajas: Al menos 45 person.. <link>
14277,fact,La belleza sin mérito de Keira Knightley: Ser guapa no tiene mérito. Lo ha dicho la joven actriz Keira Kn.. <link>
10139,fact,EP La Constituyente de Ecuador retira 50 artículos del proyecto de Carta Magna: La Asamblea Constituyen.. <link>
8377,fact,Primera condena en España por desproteger un programa informático: El juzgado de lo penal número tres de .. <link>
4329,fact,VIDEO: Una mirada de  Colombia a través de 90 obras pintadas por ex paramilitares y guerrilleros <link>
21277,sarcasm,Postobon amamos tus comerciales <hashtags>
5767,fact,El PP desprecia todas las medidas económicas mientras Zapatero vuelve a recordarles el 'decretazo': Es difícil d.. <link>
3563,fact,"""Ahora estamos pasando una luna de miel. Lo peor vendrá en octubre"" - Entrevista al psicólogo de los mineros <link>"
24405,sarcasm,"Si, Esto es vida... Sin celular por dos semanas v.v <hashtags>"
11426,fact,EP Un lustro de Wordpress: Es imposible concebir la blogosfera sin algunos servicios como Blogger o Bit.. <link>
4967,fact,Tremendo susto para los Lakers: El Staples vivió un derby inesperadamente emocionante entre Los Lakers y los Cli.. <link>
17779,sarcasm,"Va a haber q asfaltar el campo..."" <mention> El voto rural del PSOE es inamovible... hay q vivir aquí para entenderlo"" <hashtags>"
22817,sarcasm,Se re puso la noche loco!! <hashtags>
15828,sarcasm,"<mention> ¡ANDREA LEGARRETA es  IRÓNICA,  SARCÁSTICA,  BURLESCA con Victoria Ruffo! ☼"
12829,fact,EP Nicole Kidman sigue la dieta de Bridget Jones: Nicole Kidman ha tenido que renunciar a su delgadísim.. <link>
189,fact,"Nuevo caso de intolerancia. Dos hombres, en aparente estado de embriaguez, agredieron con arma blanca a un policía en TransMilenio <pic>"
7071,fact,Atropellados dos hombres en Ciudad Real cuando empujaban un coche averiado: Dos hombres han fallecido sobre las .. <link>
24391,sarcasm,Disfrutando de la amabilidad de los funcionarios de trafico <hashtags>
17935,sarcasm,"Si no te quedan esos zapatos, pues cambialos... <hashtags>"
17148,sarcasm,"Mientras en EEUU hay una ""gran movilización""  Sarcasmo por el movimiento golondrina, en El Salvador las golondrinas no vuelan porque no terminan de salir de las redes sociales. <hashtags> <pic>"
3712,fact,"\""El fútbol ayuda a curar la demencia\"": Médicos escoceses aseguran que mediante fotos de partidos consiguieron qu... <link>"
1830,fact, ObamaenCuba El presidente de EE.UU. ya vuela hacia La Habana para su histórica visita <pic>
6865,fact,Dos muertos a causa de una explosión de gas en un edificio en Ucrania: Dos personas han muero este miércoles por.. <link>
3588,fact,Autoridades hacen contacto verbal con los mineros atrapados en Chile <link>
6305,fact,"Obama se queda su BlackBerry: Debe de ser muy complicado decirle no a la persona más poderosa del mundo. Y, aún .. <link>"
2906,fact,Felip Puig desoyó los avisos internos y de la Guardia Urbana contra la carga en la  acampadaBcn <link> <hashtags>
19613,sarcasm,menos mal que salio en gaceta oficial la prohibición del porte de armas... <hashtags>
19268,sarcasm,Y en Reprechet cuando jale Patri va ser igual... <hashtags>
20739,sarcasm,"Tengo marcas en todo el cuerpo, gracias Thor. <hashtags>"
2759,fact,El primer ministro de  Libia confirma la muerte de <hashtags>
5180,fact,Muere una mujer apuñalada por su marido en Gernika: Una mujer de 44 ha muerto apuñalada esta madrugada presuntam.. <link>
23527,sarcasm,Q rico tener clases un sabado!  Sarcasmo!
22380,sarcasm,"Kiko Raton, q bueno es <hashtags>"
9263,fact,EP Pasajeros de un vuelo de Iberworld suspendido ayer por una avería renuncian a viajar a Cancún: Más d.. <link>
13683,fact,EP Fernández Ordóñez defiende la fortaleza de los bancos españoles frente a la crisis: El gobernador de.. <link>
2469,fact, Venezuela denegó a <mention> la acreditación para cubrir las elecciones del domingo. Entérate por qué en  Conclusiones <mention>
6048,fact,Iberdrola construirá centrales nucleares en Reino Unido: Iberdrola ha cerrado un acuerdo con el grupo GDF Suez p.. <link>
20419,sarcasm,Fuentes oficiales aseguran que EPN declinará para evitarle disgustos a AMLOco  sarcasmo <mention>
18472,sarcasm,"RT <mention>  AvBrasilAzteca y que se estampan jajajajajaja ay ese carlitos es un can*jo jajajaj //Nooo, ""si es un amor y fiel"" <hashtags>"
18936,sarcasm,-Te  Quiero A Ti Con Todo  Incluido : - Tus  Defectos - Tu  Pasado - Tus  Errores - Tu  Sonrisa - Tu  Bromas -Tu  Sarcasmo Tus <hashtags>
2064,fact,"Papa Francisco: ""Todos tenemos necesidad de ser lavados y purificados. Yo el primero"" <pic>"
5920,fact,El 'FT' revela tensiones en EADS por la integración de la filial española de defensa: El periódico Financial Tim.. <link>
12676,fact,"EP George Clooney presenta en Europa su última película, 'Ella es el partido': Esta tarde se ha present.. <link>"
325,fact,"Jefes de Estado y de Gobierno se manifestaron en contra del gobierno de  Maduro y pidieron no reconocer las elecciones del 20 de mayo. El vicepresidente de EE.UU, Mike Pence, pidió aislar a  Venezuela del continente.  CumbrePerú [cs] <pic>"
4534,fact,Los piratas somalíes matan al capitán de un buque panameño: Un grupo de piratas somalíes ha asaltado este jueve.. <link>
17346,sarcasm,Descubren a la Iguana de Motta Dominguez en un Baño de Miraflores!  Sarcasmo se bañaba después de trabajar!  <pic>
16362,sarcasm,"Se siente cabron hablar, hablar y hablar. Y que Karolina solo se ria. <hashtags>"
9636,fact,"EP Comer sano, una obsesión: El boom por la alimentación sana que desde hace varios años se vive en los.. <link>"
22774,sarcasm,CELOSA YO? Ay Ay SI Mi Polliito No me para Gran vaiina eso no es nada Gafaa! <hashtags>
19091,sarcasm,Personas idiotas que no saben utilizar el sarcasmo y puntualizan para mostrar a gente que es un  Sarcasmo U.U era OBVIO
8053,fact,Wall Street sube con la vista puesta en las elecciones: La Bolsa de Nueva York abrió hoy con un alza del .. <link>
5006,fact,El Bernabéu será el primer estadio español con apuestas en directo: El Santiago Bernabéu se convertirá a partir .. <link>
6347,fact,Quejas para un paro judicial: Jueces y magistrados deciden hoy en juntas y asambleas si van a la huelga. Sobre l.. <link>
12951,fact,EP Nuevas pruebas evidencian casos de torturas en Irak: El Ministerio británico de Defensa va a verse s.. <link>
16699,sarcasm,"Dicen que el examen para aplicar a una beca en la  Ucreativa, es planchar un pantalon con quiebres jajaja <hashtags>"
7388,fact,Bruselas espera que la Cumbre de Poznan acelere las negociaciones hacia un acuerdo post-Kioto: El comisar.. <link>
1498,fact,. <mention> Lo que hicieron con <mention> es el inicio de una escalada de persecución | <mention> <hashtags>
610,fact,"Caso  BertaCáceres: ""hay 8 presos y estamos esperando no solamente a que haya un juicio justo, sino que también se persiga a los autores intelectuales"" <mention> <mention> <mention> <mention> <pic>"
24790,sarcasm,"RT <mention> Quien es es mejor jugador, Chicharito o Hugo Sanchez? // <mention> <hashtags>"
4752,fact,"Casillas: ""Me cambiaría por el Barcelona ahora mismo"" <link>"
26253,sarcasm,"Camila resulta comprar todo lo que ha ganado, mi pregunta es, cuanto le abra costado estar 2 en billboard y el grammy al que esta nominada? Alguien me puede decir de donde saca tanta plata? Pq ella no se esfuerza para nada, ella solo paga por todo... <hashtags>"
24480,sarcasm,"Me acuerdo cuando lizmar me dijo , quiero seguir contigo  Sarcasmo Nunca me lo dijo por hacerle caso a sus 2 amigos"
3076,fact,"La religión desaparecerá en nueve países, dice un estudio - Aumentan personas que afirman no tener culto <link> <hashtags>"
22433,sarcasm,""" <mention> Que traigan a Peña Nieto como DT de Toluca  Sarcasmo  Diablostwitteros""// no mamar y gaviota de auxiliar no? Jaja"
3341,fact,"La \""fiebre del litio\"" a los pies de Los Andes: Argentina, Chile y Bolivia disponen del 85% de las reservas de ... <link>"
16217,sarcasm,"Ñoe la madre chico! Me quitaron la sesion de masajistas de El Universal, gracias al fallo del TSJ  Sarcasmo. Bueno en fin, eso era demasiado"
13409,fact,"EP Alonso se aleja del Mundial: El piloto español, Fernando Alonso, ha quedado fuera de carrera tras su.. <link>"
23750,sarcasm,"Lo que más me pone emo, es el hecho de saber que Gasto mi tiempo pensando en el..mientras a el le da igual (Y) EXCELENTE! <hashtags>"
4396,fact,"Una moneda de dos millones de euros: Impone sostener esta moneda. Mide 7,15 centímetros. Y pesa 339,35 gramos. .. <link>"
5379,fact,"Una tribu bajo sospecha: Te manipulan y te lavan el cerebro sintiéndose que ellos son los elegidos"". Es el relat.. <link>"
24087,sarcasm,Chivas ya es lider general o tiene que esperar el partido de América vs Atlas? <hashtags>
18155,sarcasm,"El epicentro fue en la mesa de los santos?, raro casi no tiembla en ese pueblo <hashtags>"
21410,sarcasm,Si EPN va tan arriba en las encuestas que más da si  ElPejeNoCumple o acaso nos han mentido? No creo porque el PRI es de confianza <hashtags>
10528,fact,EP El vicepresidente del Senado haitiano insta a ratificar a la primera ministra: El vicepresidente del.. <link>
6611,fact,La derecha lidera los sondeos en Chile por primera vez desde la dictadura: La temperatura política chilena comen.. <link>
